Timestamp,Incompleted_count
2025-03-02T00:00:00.342961Z,16
2025-03-02T00:00:03.342815Z,14
2025-03-02T00:00:06.343189Z,14
2025-03-02T00:00:09.342767Z,10
2025-03-02T00:00:12.342678Z,9
2025-03-02T00:00:15.342594Z,16
2025-03-02T00:00:18.342596Z,16
2025-03-02T00:00:21.343071Z,16
2025-03-02T00:00:24.343500Z,16
2025-03-02T00:00:27.342610Z,15
2025-03-02T00:00:30.342640Z,16
2025-03-02T00:00:33.343481Z,15
2025-03-02T00:00:36.343336Z,16
2025-03-02T00:00:39.342601Z,11
2025-03-02T00:00:42.342498Z,11
2025-03-02T00:00:45.342761Z,12
2025-03-02T00:00:48.342537Z,15
2025-03-02T00:00:51.343003Z,15
2025-03-02T00:00:54.342676Z,13
2025-03-02T00:00:57.343328Z,12
2025-03-02T00:01:00.342681Z,12
2025-03-02T00:01:03.342742Z,9
2025-03-02T00:01:06.342570Z,12
2025-03-02T00:01:09.342602Z,11
2025-03-02T00:01:12.342697Z,11
2025-03-02T00:01:15.342937Z,9
2025-03-02T00:01:18.342515Z,16
2025-03-02T00:01:21.342787Z,16
2025-03-02T00:01:24.343238Z,14
2025-03-02T00:01:27.343173Z,13
2025-03-02T00:01:30.343096Z,12
2025-03-02T00:01:33.342598Z,11
2025-03-02T00:01:36.343145Z,10
2025-03-02T00:01:39.342510Z,10
2025-03-02T00:01:42.342818Z,9
2025-03-02T00:01:45.343060Z,9
2025-03-02T00:01:48.343013Z,11
2025-03-02T00:01:51.342651Z,10
2025-03-02T00:01:54.343121Z,12
2025-03-02T00:01:57.342843Z,10
2025-03-02T00:02:00.342835Z,10
2025-03-02T00:02:03.343035Z,10
2025-03-02T00:02:06.343082Z,12
